News Source,Media Bias Rating
SF Weekly,Center
SFGate,Lean Left
Shelley Moore Capito,Right
Sierra Club,Lean Left
Signe Wilkinson (cartoonist),Left
Sky-Hi Daily News,Lean Left
Slate,Lean Left
Small World (cartoonist),Left
Smerconish,Center
Socialist Alternative,Left
Socialist Project/The Bullet,Left
Spokesman Review,Lean Left
State Journal,Lean Left
Steve Benson (cartoonist),Left
Steve Breen (cartoonist),Center
Steve Kelley (cartoonist),Right
Steve Sack (cartoonist),Left
Stimson Center,Lean Right
Stuart Carlson (cartoonist),Left
Sunlight Foundation,Center
Suspend Belief Podcast,Mixed
Tallahassee Democrat,Left
TechCrunch,Center
Ted Rall (cartoonist),Left
Teen Vogue,Lean Left
Terri Lynn Land,Right
Test Source,Center
The Advocate-Messenger,Lean Left
The American Conservative,Lean Right
The Atlantic,Lean Left
The Boston Globe,Lean Left
The Cadiz Record,Lean Left
The Canyon County Zephyr,Left
The College Fix,Right
The Commercial Appeal,Lean Left
The Courier-Journal,Lean Left
The Daily Caller,Right
The Daily Show (humor),Lean Left
The Daily Signal,Right
The Daily Wire,Right
The Delaware County Daily Times,Lean Left
The Economist,Lean Left
The Federalist,Lean Right
The Gateway Pundit,Right
The Guardian,Lean Left
The Heritage Foundation,Lean Right
The Hill,Center
The Intercept,Left
The Jerusalem Post,Center
The Justice,Lean Left
The Korea Herald,Center
The Libertarian Republic,Lean Right
The Nation,Left
The New Yorker,Left
The Observer (New York),Center
The Oracle,Center
The Red and Black,Center
The Reliable Bias,Center
The Republican,Center
The Root,Lean Left
The Sacramento Bee,Lean Left
The Saturday Evening Post,Center
The Telegraph - UK,Lean Right
The Verge,Lean Left
The Village Square,Mixed
The Week,Center
The Weekly Standard,Right
TheBlaze.com,Right
ThinkProgress,Left
Thom Tillis,Right
Thomas Frank,Lean Left
Thomas Sowell,Lean Right
Tim Groseclose,Lean Right
Time Magazine,Left
Tom Cole,Right
Tom Cotton,Right
Tom Toles (cartoonist),Left
Tony Auth (cartoonist),Left
Townhall,Right
Truth or Fiction,Center
TruthOut,Lean Left
U.S. News & World Report,Lean Left
United States Courts,Center
Univision,Lean Left
Upworthy,Left
Urban Institute,Lean Left
USA TODAY,Center
Vanity Fair,Lean Left
Vice,Left
Victor Hanson,Lean Right
Volante,Center
Vote Smart,Center
Vox,Lean Left
VT Digger,Lean Left
Wall Street Journal- Editorial,Right
Wall Street Journal- News,Center
Walt Handelsman (cartoonist),Left
Washington Examiner,Right
Washington Free Beacon,Right
Washington Guardian,Lean Right
Washington Monthly,Lean Left
Washington Post,Lean Left
Washington Times,Lean Right
Watchdog.org,Lean Right
Western Journalism,Right
WFAE,Center
WGBH,Center
Whitehouse.gov,Lean Right
Wikipedia,Center
Wikipedia (Duplicate),Center
Willam A. Galston,Lean Left
William Bennett,Right
William McGurn,Right
Wisconsin Gazette,Lean Left
WND.com,Right
World Wildlife Fund,Center
Yahoo News,Lean Left
Yes! Magazine,Left
