Date,AllMedia_Headline,Description,Source_Name,Source_Bias,Source_Headline,Source_Link
"December 26th, 2019",b'Officials Uncertain on 2021 Goal for Border Wall Completion',"Government officials are raising doubts regarding the completion of a new southern border wall by 2021; acting Customs and Border Protection commissioner Mark Morgan expressed uncertainty about the goal in a recent interview with the New York Times. Building a complete, competent border wall is one of President Donald Trump's core campaign promises.",National Review,Right ,b'Chief Border Enforcement Official Casts Doubt on Goal to Build Wall by 2021',https://www.nationalreview.com/news/chief-border-enforcement-official-casts-doubt-on-goal-to-build-wall-by-2021/
"December 20th, 2019",b'N Y N J Sign Laws to Let Undocumented Immigrants Apply for Driver s Licenses',"A so-called ""Green Light Law"" allowing people who are in the country illegally to obtain driver's licenses took effect in New York state this week, and New Jersey governor Phil Murphy signed a similar state law into effect Thursday. The N.Y. law also bars federal immigration and border officials from accessing the state's DMV database; the two states are the 14th and 15th to pass such laws.",Vox,Left ,b'New Jersey just became the 15th state to pass a bill letting unauthorized immigrants obtain driver\xe2\x80\x99s licenses',https://www.vox.com/policy-and-politics/2019/12/18/21028348/new-jersey-unauthorized-undocumented-illegal-immigrant-drivers-license-law-murphy-ice-dhs
"December 20th, 2019",b'N Y N J Sign Laws to Let Undocumented Immigrants Apply for Driver s Licenses',"A so-called ""Green Light Law"" allowing people who are in the country illegally to obtain driver's licenses took effect in New York state this week, and New Jersey governor Phil Murphy signed a similar state law into effect Thursday. The N.Y. law also bars federal immigration and border officials from accessing the state's DMV database; the two states are the 14th and 15th to pass such laws.",USA TODAY,Center ,"b""New York law lets undocumented immigrants apply for driver's licenses, blocks ICE access""",https://www.usatoday.com/story/news/nation/2019/12/19/new-york-drivers-licenses-open-undocumented-immigrants-green-light-law/2696451001/
"December 20th, 2019",b'N Y N J Sign Laws to Let Undocumented Immigrants Apply for Driver s Licenses',"A so-called ""Green Light Law"" allowing people who are in the country illegally to obtain driver's licenses took effect in New York state this week, and New Jersey governor Phil Murphy signed a similar state law into effect Thursday. The N.Y. law also bars federal immigration and border officials from accessing the state's DMV database; the two states are the 14th and 15th to pass such laws.",Fox News (Online),Right ,"b""New Jersey Gov. Phil Murphy signs law letting illegal immigrants get driver's licenses""",https://www.foxnews.com/politics/illegal-immigrant-drivers-licenses-phil-murphy
"December 12th, 2019",b'Pentagon Watchdog to Review 400M Border Contract',"A Pentagon watchdog will review a decision by the Army Corps of Engineers to subcontract a Department of Defense job to Fisher Sand and Gravel (FSG), a North Dakota-based company which President Donald Trump has publicly supported. The $400 million contract involves border wall construction.",NBC News (Online),Left ,b'Pentagon watchdog plans to review award of $400M border wall contract to firm touted by Trump',https://www.nbcnews.com/politics/immigration/pentagon-watchdog-plans-review-award-400m-border-wall-contract-firm-n1099911
"December 12th, 2019",b'Pentagon Watchdog to Review 400M Border Contract',"A Pentagon watchdog will review a decision by the Army Corps of Engineers to subcontract a Department of Defense job to Fisher Sand and Gravel (FSG), a North Dakota-based company which President Donald Trump has publicly supported. The $400 million contract involves border wall construction.",Associated Press,Center ,b'Pentagon watchdog investigating $400M border wall contract',https://apnews.com/d2474701743e9cc9f7ffda888b5371e9
"December 12th, 2019",b'Pentagon Watchdog to Review 400M Border Contract',"A Pentagon watchdog will review a decision by the Army Corps of Engineers to subcontract a Department of Defense job to Fisher Sand and Gravel (FSG), a North Dakota-based company which President Donald Trump has publicly supported. The $400 million contract involves border wall construction.",National Review,Right ,b'Pentagon Watchdog to Review Border-Wall Contract Awarded to Company Repeatedly Praised by Trump',https://www.nationalreview.com/news/pentagon-watchdog-to-review-border-wall-contract-awarded-to-company-repeatedly-praised-by-trump/
"October 24th, 2019",b'Trump Gets Jeers After Colorado Wall Comments',"Jokes at the expense of President Donald Trump went viral on social media Thursday after Trump suggested his administration will build a border wall in Colorado. Jared Polis, governor of Colorado, joined the jabs on Twitter; taking the moment to boast his state's free full-day kindergarten program and learning geography. Trump later said the comments were a joke. ",Associated Press,Center ,b'Trump includes Colorado in states getting border wall',https://www.apnews.com/d5f94492f7db48ee9d453679fdc7a0fe
"October 24th, 2019",b'Trump Gets Jeers After Colorado Wall Comments',"Jokes at the expense of President Donald Trump went viral on social media Thursday after Trump suggested his administration will build a border wall in Colorado. Jared Polis, governor of Colorado, joined the jabs on Twitter; taking the moment to boast his state's free full-day kindergarten program and learning geography. Trump later said the comments were a joke. ",CNN (Web News),Left ,"b""Trump says US is building a wall in Colorado -- a state that doesn't border Mexico""",https://www.cnn.com/2019/10/23/politics/trump-us-building-wall-colorado/index.html
"October 24th, 2019",b'Trump Gets Jeers After Colorado Wall Comments',"Jokes at the expense of President Donald Trump went viral on social media Thursday after Trump suggested his administration will build a border wall in Colorado. Jared Polis, governor of Colorado, joined the jabs on Twitter; taking the moment to boast his state's free full-day kindergarten program and learning geography. Trump later said the comments were a joke. ",Fox News (Online),Right ,"b""Colorado governor slams Trump after president says America's building the wall there""",https://www.foxnews.com/politics/governor-slams-trump-after-he-declares-hes-building-a-wall-in-colorado
"October 5th, 2019",b'Trump Administration to Require Visa Applicants Prove They Can Afford Health Care',"In a proclamation issued late Friday, the White House announced that it will require immigrants to prove they have health care coverage or can afford their own medical costs when applying for U.S. visas. The measure, which officials said is aimed at restricting those who “will be a financial burden to the United States healthcare system,"" is set to take effect Nov. 3 and will apply to applicants for visas from abroad. It will also apply to the spouses and parents of U.S. citizens. ",Fox News (Online),Right ,b'Trump administration to restrict visas for uninsured applicants',https://www.foxnews.com/politics/trump-administration-to-require-immigrants-to-prove-they-can-afford-health-insurance
"October 5th, 2019",b'Trump Administration to Require Visa Applicants Prove They Can Afford Health Care',"In a proclamation issued late Friday, the White House announced that it will require immigrants to prove they have health care coverage or can afford their own medical costs when applying for U.S. visas. The measure, which officials said is aimed at restricting those who “will be a financial burden to the United States healthcare system,"" is set to take effect Nov. 3 and will apply to applicants for visas from abroad. It will also apply to the spouses and parents of U.S. citizens. ",New York Times (Online News),Left ,b'Trump Will Deny Immigrant Visas to Those Who Can\xe2\x80\x99t Pay for Health Care',https://www.nytimes.com/2019/10/04/us/immigrant-visas-health-care.html
"October 5th, 2019",b'Trump Administration to Require Visa Applicants Prove They Can Afford Health Care',"In a proclamation issued late Friday, the White House announced that it will require immigrants to prove they have health care coverage or can afford their own medical costs when applying for U.S. visas. The measure, which officials said is aimed at restricting those who “will be a financial burden to the United States healthcare system,"" is set to take effect Nov. 3 and will apply to applicants for visas from abroad. It will also apply to the spouses and parents of U.S. citizens. ",Bloomberg,Center ,b'U.S. to Deny Visas to Immigrants Unless They Can Pay Health Care',https://www.bloomberg.com/news/articles/2019-10-05/u-s-to-deny-visas-to-immigrants-unless-they-can-pay-health-care
"September 26th, 2019",b'Honduras Will Accept More Asylum Seekers',"Under a new U.S.-Honduras immigration deal, the Central American country will accept more migrants who seek asylum at the U.S.-Mexico border. This is part of the 'safe third country' policy that the Trump administration has implemented to curb an influx of Central American migrants. The deal with Honduras is similar to others made with El Salvador last week and Guatemala in July; numerous lawsuits have targeted these policies, but they continue to be enforced as legal disputes continue.",Reuters,Center ,b'Honduras to accept more asylum seekers under latest U.S. immigration deal',https://www.reuters.com/article/us-usa-immigration/honduras-to-accept-more-asylum-seekers-under-latest-us-immigration-deal-idUSKBN1WA2QI
"September 26th, 2019",b'Honduras Will Accept More Asylum Seekers',"Under a new U.S.-Honduras immigration deal, the Central American country will accept more migrants who seek asylum at the U.S.-Mexico border. This is part of the 'safe third country' policy that the Trump administration has implemented to curb an influx of Central American migrants. The deal with Honduras is similar to others made with El Salvador last week and Guatemala in July; numerous lawsuits have targeted these policies, but they continue to be enforced as legal disputes continue.",Wall Street Journal - Editorial,Right ,b'Build the Wall but Let More People Through the Doors',https://www.wsj.com/articles/build-the-wall-but-let-more-people-through-the-doors-11569366932
"September 26th, 2019",b'Honduras Will Accept More Asylum Seekers',"Under a new U.S.-Honduras immigration deal, the Central American country will accept more migrants who seek asylum at the U.S.-Mexico border. This is part of the 'safe third country' policy that the Trump administration has implemented to curb an influx of Central American migrants. The deal with Honduras is similar to others made with El Salvador last week and Guatemala in July; numerous lawsuits have targeted these policies, but they continue to be enforced as legal disputes continue.",Jacobin,Left ,b'Migrants on the Front Lines of Global Class War',https://jacobinmag.com/2019/09/migrants-global-class-war-amlo-mexico-trump-border
"September 9th, 2019",b'Judge Reinstates Injunction Against Asylum Ban',"Northern California's U.S. District Court judge John Tigar ruled to block President Trump's asylum ban Monday. The ban requires that asylum seekers apply for refugee status at a 'third safe country' and be denied before being able to apply for asylum in the U.S.. In July, Tigar issued a nationwide injunction to ban the policy. At the time, the Ninth Circuit Court of Appeals restricted the injunction to just Arizona and California. Today, Judge Tigar reinstated the nationwide injunction. ",National Review,Right ,b'Judge Blocks Ban on Asylum-Seekers Who Travel through Safe Third Country',https://www.nationalreview.com/news/judge-blocks-ban-on-asylum-seekers-who-travel-through-safe-third-country/
"September 9th, 2019",b'Judge Reinstates Injunction Against Asylum Ban',"Northern California's U.S. District Court judge John Tigar ruled to block President Trump's asylum ban Monday. The ban requires that asylum seekers apply for refugee status at a 'third safe country' and be denied before being able to apply for asylum in the U.S.. In July, Tigar issued a nationwide injunction to ban the policy. At the time, the Ninth Circuit Court of Appeals restricted the injunction to just Arizona and California. Today, Judge Tigar reinstated the nationwide injunction. ",CBS News,Left ,"b""Judge blocks Trump's asylum ban along entire U.S.-Mexico border for second time""",https://www.cbsnews.com/news/judge-blocks-trumps-asylum-ban-along-entire-us-mexico-border-again-today/
"September 9th, 2019",b'Judge Reinstates Injunction Against Asylum Ban',"Northern California's U.S. District Court judge John Tigar ruled to block President Trump's asylum ban Monday. The ban requires that asylum seekers apply for refugee status at a 'third safe country' and be denied before being able to apply for asylum in the U.S.. In July, Tigar issued a nationwide injunction to ban the policy. At the time, the Ninth Circuit Court of Appeals restricted the injunction to just Arizona and California. Today, Judge Tigar reinstated the nationwide injunction. ",The Hill,Center ,"b""Judge reinstates block on Trump's asylum ban for migrants at southern border""",https://thehill.com/regulation/court-battles/460527-federal-judge-reinstates-block-on-trumps-asylum-ban-for-migrants-at
"August 27th, 2019",b'Incoming Palestinian Harvard Student Deemed Inadmissible by CBP',"17-year-old Ismail Ajjawi, an incoming Harvard freshman from Lebanon, was questioned at Boston Logan International Airport on Tuesday by U.S. Customs and Border Patrol, who deemed him to be ""inadmissible.""",Daily Mail,Right ,"b""Incoming Palestinian Harvard freshman has his visa REVOKED at Boston airport after he was 'questioned for five hours and officials found anti-US political social media posts by his friends'""",https://www.dailymail.co.uk/news/article-7399647/Incoming-Harvard-freshman-deported-visa-revoked-Boston-airport.html
"August 27th, 2019",b'Incoming Palestinian Harvard Student Deemed Inadmissible by CBP',"17-year-old Ismail Ajjawi, an incoming Harvard freshman from Lebanon, was questioned at Boston Logan International Airport on Tuesday by U.S. Customs and Border Patrol, who deemed him to be ""inadmissible.""",Slate,Left ,b'A Palestinian Freshman Arrived in the U.S. to Study at Harvard. Immigration Officials Revoked His Visa and Deported Him.',https://slate.com/news-and-politics/2019/08/palestine-freshman-study-visa-harvard-immigration-revoked-deported.html
"August 27th, 2019",b'Incoming Palestinian Harvard Student Deemed Inadmissible by CBP',"17-year-old Ismail Ajjawi, an incoming Harvard freshman from Lebanon, was questioned at Boston Logan International Airport on Tuesday by U.S. Customs and Border Patrol, who deemed him to be ""inadmissible.""",The Hill,Center ,"b""Harvard freshman deported after officials review friends' social media posts: report""",https://thehill.com/policy/national-security/department-of-homeland-security/458956-harvard-freshman-deported-after
"August 14th, 2019",b'Statue of Liberty poem comment prompts criticism misleading coverage',"Ken Cuccinelli, head of Citizenship and Immigration Services, made an addition to a line of the Statue of Liberty's poem in a recent interview. He faced significant criticism as a result of the comment, which came after the Department of Homeland Security updated the existing public charge rule to withhold permanent status from migrants who rely on government aid. ",BBC News,Center ,b'Trump official revises Statue of Liberty poem to defend migrant rule change',https://www.bbc.com/news/world-us-canada-49323324
"August 14th, 2019",b'Statue of Liberty poem comment prompts criticism misleading coverage',"Ken Cuccinelli, head of Citizenship and Immigration Services, made an addition to a line of the Statue of Liberty's poem in a recent interview. He faced significant criticism as a result of the comment, which came after the Department of Homeland Security updated the existing public charge rule to withhold permanent status from migrants who rely on government aid. ",The Federalist,Right ,b'Does The Statue Of Liberty Poem Invalidate U.S. Borders Or Require Giving Welfare To Non-Citizens?',https://thefederalist.com/2019/08/13/statue-liberty-poem-invalidate-u-s-borders-require-giving-welfare-non-citizens/
"August 14th, 2019",b'Statue of Liberty poem comment prompts criticism misleading coverage',"Ken Cuccinelli, head of Citizenship and Immigration Services, made an addition to a line of the Statue of Liberty's poem in a recent interview. He faced significant criticism as a result of the comment, which came after the Department of Homeland Security updated the existing public charge rule to withhold permanent status from migrants who rely on government aid. ",MSNBC,Left ,b'The Trump Team rewrites the Statue of Liberty',https://www.msnbc.com/the-last-word/watch/the-trump-team-rewrites-the-statue-of-liberty-66039877965
"August 12th, 2019",b'New Policy Stiffens Requirements For Legal Immigration',"The Department of Homeland Security announced a new expansion of the 'public charge' rule, which aims to restrict immigrants who receive forms of government assistance from obtaining green cards or permanent visas. DHS estimates that the updated rule will immediately affect the immigration status of roughly 382,000 people. Asylum seekers and refugees are excluded from the public charge rule. ",National Review,Right ,b'Trump Administration to Crack Down on Visa Applicants Who Would Rely on Public Services',https://www.nationalreview.com/news/trump-administration-to-reject-visa-applicants-who-would-rely-on-public-services/
"August 12th, 2019",b'New Policy Stiffens Requirements For Legal Immigration',"The Department of Homeland Security announced a new expansion of the 'public charge' rule, which aims to restrict immigrants who receive forms of government assistance from obtaining green cards or permanent visas. DHS estimates that the updated rule will immediately affect the immigration status of roughly 382,000 people. Asylum seekers and refugees are excluded from the public charge rule. ",The Hill,Center ,"b""White House: New immigration policy meant to promote 'self-sufficiency and personal responsibility'""",https://thehill.com/homenews/administration/457093-white-house-defends-new-immigration-policy
"August 12th, 2019",b'New Policy Stiffens Requirements For Legal Immigration',"The Department of Homeland Security announced a new expansion of the 'public charge' rule, which aims to restrict immigrants who receive forms of government assistance from obtaining green cards or permanent visas. DHS estimates that the updated rule will immediately affect the immigration status of roughly 382,000 people. Asylum seekers and refugees are excluded from the public charge rule. ",HuffPost,Left ,b'The Trump Administration Just Made It Harder To Apply For Green Cards And Visas',https://www.huffpost.com/entry/public-charge-department-of-homeland-security-final-rule_n_5d449198e4b0ca604e31fb51
"August 8th, 2019",b'680 Unauthorized Workers Arrested in Mississippi',"Immigration and Customs Enforcement (ICE) carried out raids at seven different sites across six Mississippi cities on Wednesday, resulting in 680 arrests. The state's US Attorney for its Southern District labeled the operation as the ""largest single-state immigration enforcement operation"" in United States history.",Breitbart News,Right ,b'ICE Arrests 680 Illegal Aliens in Largest Single-State Raid in U.S. History',https://www.breitbart.com/politics/2019/08/07/ice-arrests-680-illegal-aliens-in-largest-single-state-raid-in-u-s-history/
"August 8th, 2019",b'680 Unauthorized Workers Arrested in Mississippi',"Immigration and Customs Enforcement (ICE) carried out raids at seven different sites across six Mississippi cities on Wednesday, resulting in 680 arrests. The state's US Attorney for its Southern District labeled the operation as the ""largest single-state immigration enforcement operation"" in United States history.",NPR Online News,Center ,b'Mississippi Immigration Raids Net Hundreds Of Workers',https://www.npr.org/2019/08/07/749243985/mississippi-immigration-raids-net-hundreds-of-workers
"August 8th, 2019",b'680 Unauthorized Workers Arrested in Mississippi',"Immigration and Customs Enforcement (ICE) carried out raids at seven different sites across six Mississippi cities on Wednesday, resulting in 680 arrests. The state's US Attorney for its Southern District labeled the operation as the ""largest single-state immigration enforcement operation"" in United States history.",BuzzFeed News,Left ,"b'Families ""Are Scared To Death"" After A Massive ICE Operation Swept Up Hundreds Of People'",https://www.buzzfeednews.com/article/hamedaleaziz/ice-raid-operation-mississippi-workplace-families
"July 27th, 2019",b'Trump Guatemala Reach Asylum Agreement',"On Friday, President Donald Trump reached an agreement with Guatemala, under which the country will serve as a 'gatekeeper' for asylum seekers trying to get to the United States. ",Wall Street Journal - News,Center ,b'Trump Scores Two Victories on Border',https://www.wsj.com/articles/supreme-court-rules-trump-can-use-pentagon-funds-for-border-wall-11564181606
"July 27th, 2019",b'Trump Guatemala Reach Asylum Agreement',"On Friday, President Donald Trump reached an agreement with Guatemala, under which the country will serve as a 'gatekeeper' for asylum seekers trying to get to the United States. ",Fox News (Online),Right ,b'Trump announces \xe2\x80\x98landmark agreement\xe2\x80\x99 with Guatemala to restrict asylum claims',https://www.foxnews.com/politics/trump-announces-landmark-agreement-with-guatemala-to-restrict-asylum-claims
"July 27th, 2019",b'Trump Guatemala Reach Asylum Agreement',"On Friday, President Donald Trump reached an agreement with Guatemala, under which the country will serve as a 'gatekeeper' for asylum seekers trying to get to the United States. ",ABC News (Online),Left ,b'US signs controversial deal with Guatemala on immigration',https://abcnews.go.com/International/us-signs-controversial-deal-guatemala-immigration/story
"July 20th, 2019",b'Poll Most Mexicans want to deport unauthorized migrants',A Washington Post poll suggests that 55 percent of Mexicans support deporting United States-bound migrants from Mexico.,TheBlaze.com,Right ,"b""Here's how many Mexicans want migrants to be deported back to Central America""",https://www.theblaze.com/news/mexicans-polled-are-against-immigration
"July 20th, 2019",b'Poll Most Mexicans want to deport unauthorized migrants',A Washington Post poll suggests that 55 percent of Mexicans support deporting United States-bound migrants from Mexico.,Washington Post,Left ,"b'Unauthorized immigrants face public backlash in Mexico, survey finds'",https://beta.washingtonpost.com/world/the_americas/unauthorized-immigrants-face-public-backlash-in-mexico-survey-finds/2019/07/16/f7fc5d12-a75e-11e9-a3a6-ab670962db05_story.html
"July 20th, 2019",b'Poll Most Mexicans want to deport unauthorized migrants',A Washington Post poll suggests that 55 percent of Mexicans support deporting United States-bound migrants from Mexico.,NPR Online News,Center ,b'Poll: Mexicans Favor Deporting Migrants Back To Their Home Countries',https://www.npr.org/2019/07/18/742981757/poll-mexicans-favor-deporting-migrants-back-to-their-home-countries
"July 15th, 2019",b'Trump Administration Seeks To End Asylum Protections',President Donald Trump's administration is seeking to reduce the number of Central Americans eligible for asylum through new restrictions. ,Reuters,Center ,"b""Trump administration sets 'new bar' for immigrants seeking asylum""",https://www.reuters.com/article/us-usa-immigration-thirdparty/trump-administration-sets-new-bar-for-immigrants-seeking-asylum-idUSKCN1UA1IL
